category,title,author,status,readers,numbers
科幻末世,末：炮灰，坏怎,木枳枳,连载中,在读：,34.2万
科幻末世,觊觎宇宙挚,骑棋,连载中,在读：,31.5万
科幻末世,软捡，干抹净！,梦舸,连载中,在读：,13.4万
科幻末世,末跟姐混，九顿,弯腰,连载中,在读：,9.7万
科幻末世,穿越普,困困蛙唷,连载中,在读：,6.4万
科幻末世,萌宝，末卷佬,,连载中,在读：,6.8万
科幻末世,尸围城：园称霸末,熹,连载中,在读：,5.7万
科幻末世,恶毒姐,咕叨猫泠,连载中,在读：,6万
科幻末世,丧尸王软撩,盈忆,连载中,在读：,5.5万
科幻末世,求：购横扫游戏,八樱桃,连载中,在读：,5.6万
都市日常,夜宿阿姨，阿姨介绍闺蜜,龙深,连载中,在读：,33.8万
都市日常,权势：，狂飙,键齐,连载中,在读：,25.1万
都市日常,：权势滔娇娘寻,青,连载中,在读：,28.5万
都市日常,合院归,焖刀鱼幽,连载中,在读：,23.9万
都市日常,合院仁义,梅酒,连载中,在读：,22.1万
都市日常,系统提降临，恋综爽翻局,墨,连载中,在读：,20.8万
都市日常,反派：财阀嚣,摘星,连载中,在读：,19.5万
都市日常,八萝莉找，校,丁香枝,连载中,在读：,18.5万
都市日常,养育，网暴,六初二,连载中,在读：,23万
都市日常,久，青梅,,连载中,在读：,18.1万
都市修真,诸交易，蓝星娃修仙,秃秀,连载中,在读：,40.9万
都市修真,捡修仙功,皮皮仔呀,连载中,在读：,15.1万
都市修真,修仙，亿富豪,举证,连载中,在读：,8.1万
都市修真,球修仙：，氪强！,痕,连载中,在读：,8.3万
都市修真,修仙归退婚，丈娘,火,连载中,在读：,7.9万
都市修真,早敌！！！,菜鸟,连载中,在读：,6.2万
都市修真,裁贴保镖,朵菊,连载中,在读：,6.8万
都市修真,乡村傻,墨寒叶,连载中,在读：,5.1万
都市修真,鉴宝垃圾堆捡亿,洋葱穿齐云,连载中,在读：,3.2万
都市修真,野逍遥医,九九归腹肌,连载中,在读：,3.4万
都市高武,替弟，归功,窗共剪,连载中,在读：,96.4万
都市高武,转职板，替,莫,连载中,在读：,60.4万
都市高武,网购：六元腰铠甲合,隔壁二柱,连载中,在读：,58.7万
都市高武,丑牌,蔚蓝司,连载中,在读：,55.6万
都市高武,二聊群，佬份曝,局座,连载中,在读：,30.5万
都市高武,完千俯卧撑，武？,清灵雪,连载中,在读：,29.1万
都市高武,卡牌：测红卡玩,誓约,连载中,在读：,22.1万
都市高武,，怠惰罪冠，扣堕落,伯伦,连载中,在读：,21.8万
都市高武,局嫌低？秒宗效,夜九剑,连载中,在读：,19.4万
都市高武,御兽：升级赋词,九七,连载中,在读：,19.8万
奇幻仙侠,签敌：局喜爹,深夜码病,连载中,在读：,54.1万
奇幻仙侠,摆烂，皇帝哪侠爽,夏蚂蚱,连载中,在读：,31.2万
奇幻仙侠,巨龙，咋异兽？,黑狼,连载中,在读：,24.1万
奇幻仙侠,九州寻仙录孤星,帕烦恼,连载中,在读：,15.4万
奇幻仙侠,效修仙：误佬始,南瞳,连载中,在读：,18.5万
奇幻仙侠,穿越综武，启甲荡魔,兰骑,连载中,在读：,22万
奇幻仙侠,始落，雪兽娘捡始,炽鸢仙,连载中,在读：,15.3万
奇幻仙侠,执仙逆珠，族青萍仙族,飞蝌蚪,连载中,在读：,10.6万
奇幻仙侠,灭,骑猪游,连载中,在读：,13.4万
奇幻仙侠,综武：梦渣遍各,宁某,连载中,在读：,11.3万
历史古代,汉始，建千,鱼,连载中,在读：,47.6万
历史古代,唐诊,戒烟客,连载中,在读：,51.3万
历史古代,举,富贵香,连载中,在读：,16万
历史古代,合院：，雨柱,逍遥星语,连载中,在读：,9.5万
历史古代,治疏，怎儒魁首,独倚危楼,连载中,在读：,10.5万
历史古代,科举，农权臣,江河爷,连载中,在读：,10.4万
历史古代,幕，局科普刺杀皇帝,江,连载中,在读：,11.6万
历史古代,皇帝哥，抢王妃怎？,冰淇琳,连载中,在读：,9.8万
历史古代,穿越李承乾，准备李掏,搞苦仇深干,连载中,在读：,9.1万
历史古代,：竟朱樉,墨冥棋妙,连载中,在读：,8.2万
战神赘婿,二百校，录取！,顿旋八顿,连载中,在读：,14.4万
战神赘婿,刚毕业，肩扛麦穗？,寒,连载中,在读：,10.9万
战神赘婿,校，卷？,猫鲜酱,连载中,在读：,8.4万
战神赘婿,疯吧！管炊兵？,苟娃豹,连载中,在读：,6.7万
战神赘婿,退役，官系统激？,蓝纸卜,连载中,在读：,6.2万
战神赘婿,炊兵佣兵云录,双鱼座,连载中,在读：,6.1万
战神赘婿,义务兵，提干官？,猫鲜酱,连载中,在读：,5.7万
战神赘婿,旅：兵，族谱单页,宇宙深,连载中,在读：,5.5万
战神赘婿,合院？咋？俺警察！,码烦,已完结,在读：,5.2万
战神赘婿,龙隐号,击,连载中,在读：,4.3万
都市种田,乍富，躺企,,连载中,在读：,19.2万
都市种田,合院：逃荒九城,梦圆,连载中,在读：,19.3万
都市种田,，嫂送毛熊婆,王请留步,连载中,在读：,16.7万
都市种田,超市，怎游客景区？,魂空幽梦,连载中,在读：,15.7万
都市种田,合院：恶,江河归,连载中,在读：,13.9万
都市种田,坠北极装求专,燃尽香烟,连载中,在读：,13.8万
都市种田,皇帝份曝传玉玺偷始,青病院扛,连载中,在读：,13.7万
都市种田,系统：享享,秒针飞,连载中,在读：,20万
都市种田,穿越清，局杀狼,土阿姨,连载中,在读：,12.8万
都市种田,，局抢漂亮弟媳！,居米虫,连载中,在读：,11万
